DILIrank_ID, logP, logS, PhysiologicalCharge, HydrogenAcceptor, HydrogenDonor, PolarSurfaceArea(A2), RotatableBondCount, Polarizability(A3), NumberofRings, Refractivity(m3.mol-1),Bioavailability, Rule of Five, Ghose Filter, Veber's Rule, MDDR-like Rule, Water Solubility(mg/mL), pKa(StrongestAcidic), pKa(StrongestBasic)
amineptine,0.10207663619614449,-1.6293461860447898,-0.1722714906762368,-0.24626451291480375,-0.006376289498562286,-0.2500514663907822,0.3092051490046966,0.17915912251057872,0.3564399957195096,0.169762019953235,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,2.0318886358684694,-0.147609490808771,-0.5279606247046483,1.0512287706506689
chlormezanone,-0.44740298116585137,0.38242353179867866,-0.1722714906762368,-0.24626451291480375,-0.4882895379162164,-0.210125495672062,-0.4733049612156484,-0.24253800281722906,-0.1951201700705936,-0.27994120008603984,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.11741019220276265,2.053373126847317,-1.1195175409001883
droxicam,-0.012597370905489425,-0.5705200187587537,-0.1722714906762368,0.1303444759517118,-0.4882895379162164,0.12074539057701902,-0.4733049612156484,0.002052436999985918,0.9080001615096127,0.008596704101009382,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14701674072912432,-1.1424800512337316,-0.48336052414749486
nimesulide,0.3744274030625251,-0.6764026354873574,-1.2572796512511317,-0.057960018481545965,-0.24733291370738936,0.15458888919405916,-0.1379434854069291,-0.15154180922730387,-0.1951201700705936,-0.13845736289779556,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14727376481809915,-0.09656446567993375,-2.30998681201634
troglitazone,1.1389207837400845,-1.4175809525875822,-1.2572796512511317,0.1303444759517118,-0.006376289498562286,0.02701293588189874,-0.026156326804022675,0.4045121120050913,0.9080001615096127,0.4146045658485517,0.5912901657818908,-1.3894647332328949,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14759251221019273,-0.14058448190694545,-1.5101402704851754
trovafloxacin,-0.4378468139073819,-0.46463740203014997,-0.1722714906762368,0.5069534648182273,-0.006376289498562286,0.14320374910629916,-0.24973064400983552,0.13091281852665848,1.459560327299716,0.16765771091368997,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.1462944467564579,-0.3518805597966016,1.1014516930258813
alaproclate,0.4986575774226284,-0.46463740203014997,0.9127366698986581,-0.43456900734806153,-0.24733291370738936,-0.2267353233343421,-0.026156326804022675,-0.20894880384108225,-0.7466803358606967,-0.23513179583219515,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.1469079276111642,-0.012046034524071382,0.7108289634408944
alclofenac,0.5894411663780885,0.01183437324856621,-1.2572796512511317,-0.24626451291480375,-0.24733291370738936,-0.2718859816275822,-0.026156326804022675,-0.35277164672985656,-0.7466803358606967,-0.36757948243886296,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14221207874471192,-0.6512166701402812,-1.565943517568745
bendazac,0.5321041628272717,-0.2528721685729428,-1.2572796512511317,-0.057960018481545965,-0.24733291370738936,-0.13292488822766182,-0.026156326804022675,-0.14848824568401783,0.3564399957195096,0.015652328527719812,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14568284198999226,-0.6600206733856835,-0.589386693606277
benoxaprofen,1.1675892855154928,-0.5705200187587537,-1.2572796512511317,-0.24626451291480375,-0.24733291370738936,-0.14087889020678182,-0.24973064400983552,-0.07611878970813771,0.3564399957195096,0.012557756410741595,0.5912901657818908,0.7197016060085817,0.9806878371223849,-0.4679906838130684,-0.49215295678475035,-0.14702049290560573,-0.4839406084776367,-0.6375634969217588
